timesteps_total,custom_metrics/game_result/num_pass_attempts_mean,custom_metrics/game_result/num_pass_success_mean,custom_metrics/game_result/score_reward_episode_mean,custom_metrics/game_result/win_percentage_episode_mean,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms
859600,63.84,0.36,-0.11,0.02,0.347789713,4.071941868,0.10745348
862400,63.58,0.36,-0.12,0.02,0.34759539,4.07134204,0.107404139
865200,62.26,0.3,-0.11,0.02,0.347860553,4.070301655,0.107413096
868000,63.83,0.34,-0.15,0.01,0.347642347,4.067686664,0.107366379
870800,64.5,0.31,-0.16,0,0.34773335,4.068535037,0.107364135
873600,63.14,0.3,-0.16,0,0.34754864,4.072967239,0.107337476
876400,63.79,0.32,-0.15,0,0.347241212,4.071514722,0.10724891
879200,65.95,0.28,-0.15,0,0.347269647,4.072869903,0.107289545
882000,69.57,0.3,-0.16,0,0.347132222,4.074705359,0.107242362
884800,65.2,0.32,-0.16,0,0.347231738,4.074266206,0.107274327
887600,66.32,0.29,-0.18,0.01,0.347289397,4.076474781,0.107276737
890400,62.03,0.2,-0.16,0.01,0.34708826,4.073772711,0.10727312
893200,53.86,0.2,-0.14,0.01,0.347280833,4.071892736,0.107279769
896000,57.2,0.21,-0.12,0.01,0.347680466,4.069707317,0.107330937
898800,56.94,0.26,-0.14,0.01,0.347577026,4.070015836,0.107318099
901600,54.88,0.24,-0.14,0.01,0.347677146,4.070306897,0.107299576
904400,52.89,0.27,-0.15,0.01,0.347769331,4.069250902,0.107269802
907200,53.85,0.27,-0.16,0,0.347582957,4.066434377,0.107234031
910000,55.21,0.29,-0.15,0,0.347681568,4.066990084,0.107223747
912800,56.33,0.34,-0.16,0,0.34785904,4.071053122,0.107277562
915600,59.54,0.34,-0.19,0,0.347751108,4.071399767,0.107248313
918400,57.57,0.41,-0.18,0,0.347709015,4.068044816,0.107213797
921200,56.96,0.39,-0.18,0,0.347909762,4.069466001,0.107241074
924000,61.48,0.44,-0.19,0,0.34786513,4.065802442,0.107205199
926800,61.94,0.44,-0.2,0,0.347682659,4.064869472,0.107187499
929600,62.51,0.4,-0.19,0,0.347652233,4.065034096,0.107159761
932400,63.23,0.4,-0.16,0,0.347848478,4.066327818,0.107187253
935200,64.96,0.39,-0.17,0,0.347545556,4.06351946,0.107103352
938000,66.65,0.38,-0.17,0,0.347500407,4.063257079,0.107095804
940800,65,0.31,-0.15,0,0.347152969,4.059457433,0.107037798
943600,64.23,0.31,-0.14,0,0.347122644,4.058852886,0.106998762
946400,58.11,0.28,-0.14,0.01,0.347067247,4.058967444,0.106993873
949200,58.62,0.29,-0.12,0.01,0.347267333,4.05399446,0.106968584
952000,52.56,0.32,-0.11,0.01,0.347325172,4.052963443,0.106976066
954800,48.36,0.31,-0.1,0.01,0.347537414,4.05470789,0.107009955
957600,46.19,0.29,-0.1,0.02,0.347835668,4.059215106,0.107063501
960400,48.03,0.31,-0.11,0.02,0.347859982,4.058165648,0.107034111
963200,49.38,0.33,-0.1,0.02,0.348069309,4.060420589,0.107083922
966000,52.12,0.33,-0.1,0.02,0.347840315,4.063083375,0.107084151
968800,56.47,0.32,-0.09,0.01,0.348087128,4.065375055,0.107128901
971600,58.75,0.34,-0.07,0.01,0.347955193,4.064541874,0.107091947
974400,58.34,0.32,-0.09,0.01,0.347643918,4.065205952,0.107060578
977200,61.28,0.31,-0.11,0.01,0.347661398,4.06167514,0.107017722
980000,66.86,0.34,-0.11,0,0.347554393,4.063813282,0.107018174
982800,68.5,0.29,-0.09,0,0.347612482,4.063805587,0.107048799
985600,68.84,0.33,-0.13,0,0.347270992,4.058572444,0.106968918
988400,68.66,0.3,-0.12,0,0.347392865,4.060163593,0.106977221
991200,70.9,0.28,-0.14,0,0.347400787,4.060061767,0.106945104
994000,72.61,0.32,-0.13,0.01,0.347373628,4.05973287,0.106943745
